OTUID	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7	FullTaxonomy	LeafTaxa	superkingdom	phylum	class	kingdom	order	family	genus	species	subclass	subphylum	tribe	varietas	subfamily	superorder	subtribe	subgenus
fc8c1384f02646db7236295325495120	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophytina	Bacillariophyceae	Bacillariophyceae	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophytina; Bacillariophyceae; Bacillariophyceae	Bacillariophyceae	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ce06dae9681561efe0c6cc25fbf9ca11	Eukaryota	Archaeplastida	Chloroplastida	Chlorophyta	Cladophorales	NA	NA	Eukaryota; Archaeplastida; Chloroplastida; Chlorophyta; Cladophorales; Ambiguous_taxa; Ambiguous_taxa	Cladophorales	Eukaryota	Chlorophyta	Ulvophyceae	Viridiplantae	Cladophorales	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
165c16f80ef06df8f1648a67c8bee146	Eukaryota	SAR	Stramenopiles	Ochrophyta	Vaucheriales	Vaucheria	Vaucheria terrestris	Eukaryota; SAR; Stramenopiles; Ochrophyta; Vaucheriales; Vaucheria; Vaucheria terrestris	Vaucheria terrestris	Eukaryota	NA	Xanthophyceae	NA	Vaucheriales	Vaucheriaceae	Vaucheria	Vaucheria terrestris	NA	NA	NA	NA	NA	NA	NA	NA
2bc00cea4b3fe49ba4f47af6fe456f2a	Eukaryota	Archaeplastida	Chloroplastida	Chlorophyta	NA	NA	NA	Eukaryota; Archaeplastida; Chloroplastida; Chlorophyta; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa	Chlorophyta	Eukaryota	Chlorophyta	NA	Viridiplantae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
b82d1897779f78a00b22f63c5702dc20	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophyceae	Sellaphora	Eolimna minima	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophyceae; Sellaphora; Eolimna minima	Eolimna minima	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	Naviculales	Naviculaceae	Eolimna	Eolimna minima	NA	NA	NA	NA	NA	NA	NA	NA
ae4c3cc40b0f4f3bf0f9912d22e59dd6	Eukaryota	Archaeplastida	Chloroplastida	Chlorophyta	NA	NA	NA	Eukaryota; Archaeplastida; Chloroplastida; Chlorophyta; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa	Chlorophyta	Eukaryota	Chlorophyta	NA	Viridiplantae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c297dffa6fb65d63639201915a99a6cf	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophytina	Bacillariophyceae	Bacillariophyceae	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophytina; Bacillariophyceae; Bacillariophyceae	Bacillariophyceae	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7797caef75a76b1b10d6dcf6f225daf6	Eukaryota	Archaeplastida	Chloroplastida	Chlorophyta	Cladophorales	NA	NA	Eukaryota; Archaeplastida; Chloroplastida; Chlorophyta; Cladophorales; Ambiguous_taxa; Ambiguous_taxa	Cladophorales	Eukaryota	Chlorophyta	Ulvophyceae	Viridiplantae	Cladophorales	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d611577ef74feeebc294482526f5c64c	Eukaryota	SAR	Stramenopiles	Ochrophyta	Chrysocapsales	Hydrurus	Hydrurus	Eukaryota; SAR; Stramenopiles; Ochrophyta; Chrysocapsales; Hydrurus; Hydrurus	Hydrurus	Eukaryota	NA	Chrysophyceae	NA	Hydrurales	Hydruraceae	Hydrurus	NA	NA	NA	NA	NA	NA	NA	NA	NA
1a97cf7dc5e93428a76c62e8424631cd	Eukaryota	Archaeplastida	Chloroplastida	Chlorophyta	NA	NA	NA	Eukaryota; Archaeplastida; Chloroplastida; Chlorophyta; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa	Chlorophyta	Eukaryota	Chlorophyta	NA	Viridiplantae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
de4a34bdf98811a0c11b0a61269155b9	Eukaryota	Archaeplastida	Chloroplastida	Chlorophyta	Chaetophorales	Stigeoclonium	Stigeoclonium	Eukaryota; Archaeplastida; Chloroplastida; Chlorophyta; Chaetophorales; Stigeoclonium; Stigeoclonium	Stigeoclonium	Eukaryota	Chlorophyta	Chlorophyceae	Viridiplantae	Chaetophorales	Chaetophoraceae	Stigeoclonium	NA	NA	NA	NA	NA	NA	NA	NA	NA
696adf84cf7cfee8b1aadc52ad81d0eb	Eukaryota	SAR	Stramenopiles	Ochrophyta	Fragilariales	Ulnaria	Ulnaria	Eukaryota; SAR; Stramenopiles; Ochrophyta; Fragilariales; Ulnaria; Ulnaria	Ulnaria	Eukaryota	Bacillariophyta	Fragilariophyceae	NA	Licmophorales	Ulnariaceae	Ulnaria	NA	Fragilariophycidae	NA	NA	NA	NA	NA	NA	NA
fa2055de9a5762a6c268f61389b06a15	Eukaryota	Archaeplastida	Chloroplastida	Chlorophyta	NA	NA	NA	Eukaryota; Archaeplastida; Chloroplastida; Chlorophyta; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa	Chlorophyta	Eukaryota	Chlorophyta	NA	Viridiplantae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1bf9722f710dcfcd8a14ad65098909cb	Eukaryota	SAR	Stramenopiles	Ochrophyta	Vaucheriales	Vaucheria	Vaucheria terrestris	Eukaryota; SAR; Stramenopiles; Ochrophyta; Vaucheriales; Vaucheria; Vaucheria terrestris	Vaucheria terrestris	Eukaryota	NA	Xanthophyceae	NA	Vaucheriales	Vaucheriaceae	Vaucheria	Vaucheria terrestris	NA	NA	NA	NA	NA	NA	NA	NA
a70df69820b411c63261c65b819d0f31	Eukaryota	Archaeplastida	Chloroplastida	Chlorophyta	Trebouxiophyceae	Tetradesmus	Tetradesmus obliquus	Eukaryota; Archaeplastida; Chloroplastida; Chlorophyta; Trebouxiophyceae; Tetradesmus; Tetradesmus obliquus	Tetradesmus obliquus	Eukaryota	Chlorophyta	Chlorophyceae	Viridiplantae	Sphaeropleales	Scenedesmaceae	Tetradesmus	Tetradesmus obliquus	NA	NA	NA	NA	NA	NA	NA	NA
0d09b11d26d285bad2b5076774820d3a	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophyceae	Sellaphora	Eolimna minima	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophyceae; Sellaphora; Eolimna minima	Eolimna minima	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	Naviculales	Naviculaceae	Eolimna	Eolimna minima	NA	NA	NA	NA	NA	NA	NA	NA
382d9b31fe6b6fab18d908d17d86a5ec	Eukaryota	SAR	Stramenopiles	Ochrophyta	Diatomea	Coscinodiscophytina	Paralia sol	Eukaryota; SAR; Stramenopiles; Ochrophyta; Diatomea; Coscinodiscophytina; Paralia sol	Paralia sol	Eukaryota	Bacillariophyta	Coscinodiscophyceae	NA	Paraliales	Paraliaceae	Paralia	Paralia sol	Coscinodiscophycidae	NA	NA	NA	NA	NA	NA	NA
2958b86691d9b33646a70317476acd44	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophytina	Bacillariophyceae	Bacillariophyceae	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophytina; Bacillariophyceae; Bacillariophyceae	Bacillariophyceae	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
