StationCode	Date	SampleNum	Replicate	Notes
105PS0540	6/15/16	202		Sample S1 is either of these two station codes…needs to be confirmed 
403WE0535	5/24/16	202		Sample S1 is either of these two station codes…needs to be confirmed 
907M23331	6/8/16	224		
801STW258	6/9/16	267		
112NC0349	8/31/16	313		
540KSR052	8/4/16	325		
518CMC383	9/13/16	338		
911KCKCRX	4/19/16	359		
903NP9UAC	5/4/16	377		
907SDBOC2	5/5/16	208		
801M16916	5/25/16	230		
801RB8085	6/8/16	270		
907NP9OSD	4/19/16	218		
540DTC352	8/9/16	314		
113NC0028	8/23/16	326		
526PS1724	6/27/16	339		
201LAG165	6/14/16	360		
903WE0798	5/4/16	378		
902M20173	6/7/16	209		
SMC01384	6/14/16	233		
801M15414	6/15/16	279		
514PS0162	8/4/16	315		
106PS0307	6/16/16	327		
909SWCASR	3/21/16	260		
635PS0194	9/8/16	340		
201LAG165	6/14/16	361		
911NP9UCW	4/20/16	379		
902M20173	6/7/16	210		
SMC01384	6/14/16	234		
801CYC398	6/9/16	282		
519PS0790	4/12/16	316		
536SED006	8/8/16	328		
113NC0388	8/29/16	342		
201LAG165	6/14/16	362		
106NC0023	9/13/16	312		
911TJLCC2	4/20/16	381		
902M20173	6/7/16	211		
SMC01384	6/14/16	235		
801M15378	6/16/16	285		
309SLCAAS	5/16/16	317		
519PS0765	4/13/16	329		
526PS1868	7/12/16	346		
201LAG335	6/13/16	363		
901NP9FLC	4/20/16	382		
903NP9PRC	4/20/16	212		
635PCNA89	8/16/16	324		
801M16908	5/24/16	236		
801RB8598	6/14/16	288		
518LCC105	9/12/16	318		
405BRCASG	5/11/16	330		
312MZCDBC	5/17/16	347		
201LAG140	6/9/16	365		
905SDBDN9	3/29/16	213		
907M23330	6/9/16	244		
801M15424	6/14/16	291	801M15424 R2	
514WS0083	8/15/16	336		
634MKCBLG	8/18/16	319		
509WS0405	9/7/16	331		
111NC0351	8/30/16	352		
201LAG140	6/9/16	366		
903NP9SLR	3/22/16	214		
404M07357	6/13/16	247		
801M15424	6/14/16	294	801M15424 R1	
